group_index,differential_level,amplitude,mean,std_dev
2,0.20000002,58.75657305351228,1.031372511327e-06,3.39228339424908e-08
2,0.20392159,56.36059600695159,1.103674368146762e-06,3.501758637479064e-08
2,0.20784315,57.80706914424439,1.177499875019379e-06,3.805066356766581e-08
2,0.21176472,60.39285128106273,1.253134765777105e-06,4.016308747705908e-08
2,0.21568629,55.43352187919395,1.332887208140577e-06,4.068924569712638e-08
2,0.21960786,55.28517130715709,1.418708165925762e-06,4.336200819582704e-08
2,0.22352943,53.63072591309231,1.509920960804015e-06,4.749995627315535e-08
2,0.227451,55.47312851225129,1.602972780572225e-06,5.057835017944659e-08
2,0.23137257,54.21263209611147,1.69677298390376e-06,5.292686706476515e-08
2,0.23529413,56.41983706865754,1.802730620573796e-06,5.794918007494652e-08
2,0.2392157,57.03041626620593,1.910381981095746e-06,6.032078636199461e-08
2,0.24313727,55.34800039835535,2.024843940203146e-06,6.285716077805724e-08
2,0.24705884,55.84957898541427,2.133670292309093e-06,7.10531339147765e-08
2,0.25098041,52.68610807501287,2.261837862808047e-06,6.874083648859793e-08
2,0.25490198,57.76048838236782,2.380984449409905e-06,8.015874940399975e-08
2,0.25882354,54.71808759855713,2.50714321580425e-06,7.795357551379385e-08
2,0.26274511,59.06786730741872,2.633299950619873e-06,8.71754071747688e-08
2,0.26666668,56.36986338515322,2.761256789691195e-06,8.931273908499799e-08
2,0.27058825,56.10916892395236,2.890361487728476e-06,9.896406881453458e-08
2,0.27450982,54.33338334995404,3.021987625344725e-06,9.712964925699397e-08
2,0.27843139,57.38199477352963,3.154211634690263e-06,1.012914782739457e-07
2,0.28235295,59.76712881802276,3.277043052600081e-06,1.066964169297881e-07
2,0.28627452,57.28540103513964,3.407390766621538e-06,1.072320909522888e-07
2,0.29019609,57.76241590805868,3.540328674601251e-06,1.048034190089206e-07
2,0.29411766,55.38779732383546,3.659672322406743e-06,1.125705991328551e-07
2,0.29803923,55.75672490236225,3.789707382567437e-06,1.142425032448129e-07
2,0.3019608,56.63757345964209,3.907851309004054e-06,1.194619745564727e-07
2,0.30588236,57.45100657985437,4.033243017104216e-06,1.166711800776192e-07
2,0.30980393,56.18601864078625,4.150643709150119e-06,1.130495623323602e-07
2,0.3137255,58.79030621838137,4.266998740276862e-06,1.120660286084598e-07
2,0.31764707,60.16774146410319,4.395486818008915e-06,1.061974760147096e-07
2,0.32156864,57.89027506511817,4.504954270827495e-06,1.089810503616853e-07
2,0.32549021,55.11258500384852,4.608434069451802e-06,1.123004093605054e-07
2,0.32941177,58.03544808973559,4.706324390012478e-06,1.163481108494698e-07
2,0.33333334,52.30416056059346,4.815073225513242e-06,1.137297338060543e-07
2,0.33725491,57.24155007823619,4.896751647265934e-06,1.095818143400712e-07
2,0.34117648,56.87155401954232,4.989272690610896e-06,1.099894882355443e-07
2,0.34509805,56.45411059075764,5.081630577808755e-06,9.681405800857669e-08
2,0.34901962,56.89020394414687,5.165135323441035e-06,9.310226863502938e-08
2,0.35294119,54.65144907085027,5.237722129942522e-06,8.022322436994731e-08
2,0.35686275,57.35004147802563,5.31261844809301e-06,8.921437789877458e-08
2,0.36078432,60.17804947773683,5.393215633575253e-06,8.837192892418771e-08
2,0.36470589,56.48881108413848,5.4626077176859e-06,7.724920008170193e-08
2,0.36862746,58.8228269414804,5.5117383343773e-06,8.336110932966121e-08
2,0.37254903,58.45533288110705,5.577428614178264e-06,7.445538137061794e-08
2,0.37647063,56.65904221627274,5.640166374620191e-06,7.298510503404362e-08
2,0.38039219,55.38435597340039,5.687261827366445e-06,7.202509630242396e-08
2,0.38431376,57.02029150953132,5.738978576812116e-06,6.536516950196288e-08
2,0.38823533,53.96124483253559,5.78396041940888e-06,6.967216896838101e-08
2,0.3921569,54.84561804434172,5.822486661097733e-06,6.552769760536403e-08
2,0.39607847,54.97670174784591,5.865216313627216e-06,6.633971788081568e-08
2,0.40000004,58.15637908255453,5.900206790108117e-06,6.572098044912443e-08
2,0.4039216,60.74790126085688,5.935111077016052e-06,6.084205891003053e-08
2,0.40784317,59.31333561855264,5.966227491390952e-06,5.692437605832291e-08
2,0.41176474,58.85195932126246,5.996386696212498e-06,6.162340715624696e-08
2,0.41568631,57.00090570925165,6.018060888062823e-06,5.945945947852504e-08
2,0.41960788,55.44848782611091,6.044687922204286e-06,6.189580198617109e-08
2,0.42352945,53.48428993973213,6.062802884166701e-06,5.769099607000106e-08
2,0.42745101,52.22067028258243,6.087377392943223e-06,6.256863635636311e-08
2,0.43137258,59.79999552173771,6.102285953171001e-06,6.093046633238828e-08
2,0.43529415,73.56800926477919,6.139942186082913e-06,7.351056130952077e-08
