level_index,differential_level,group_index,sample_count,mean,std_dev,minimum,q01,q05,q25,median,q75,q95,q99,maximum
123,0.48235297,15,400,1.7207564263799214e-06,6.82136773262283e-08,1.5530924e-06,1.5826253445538896e-06,1.6168616696177196e-06,1.671951054049714e-06,1.7157226466224529e-06,1.7752197436493589e-06,1.8352480026351257e-06,1.854817214734794e-06,1.8830166e-06
123,0.48235297,16,400,1.1924462370416223e-06,3.190576523191626e-08,1.1061247e-06,1.1213078209948435e-06,1.1412680578359868e-06,1.1703491225034668e-06,1.1936838859583077e-06,1.2128545847645e-06,1.2472429887111502e-06,1.265544319721812e-06,1.2819456e-06
124,0.48627454,1,400,5.625783272762419e-06,1.0825952113662823e-07,5.3423587e-06,5.368716788325401e-06,5.440337417894625e-06,5.556873020395869e-06,5.6215042150142835e-06,5.700117867490917e-06,5.803883254884568e-06,5.874803518963745e-06,5.923964e-06
124,0.48627454,2,400,5.846444663575312e-06,1.1211838077467086e-07,5.5498517e-06,5.586428742390126e-06,5.669351480719342e-06,5.772446570517786e-06,5.845125542691676e-06,5.923816843278473e-06,6.033857084730699e-06,6.1033572274027394e-06,6.182274e-06
124,0.48627454,3,400,6.033649286791842e-06,1.1215065572145464e-07,5.7349775e-06,5.7705410108610526e-06,5.829340102536662e-06,5.963641228845518e-06,6.03431067247584e-06,6.1089245946277515e-06,6.215824646460532e-06,6.261282887862762e-06,6.3110724e-06
124,0.48627454,4,400,6.06006735893061e-06,1.1784228926040115e-07,5.6457206e-06,5.76733472826163e-06,5.862210832674463e-06,5.986013775327592e-06,6.059351790099754e-06,6.13324993992137e-06,6.256974529605941e-06,6.308587917374097e-06,6.3524612e-06
124,0.48627454,5,400,5.99032940840516e-06,1.2421411242163814e-07,5.665469e-06,5.719684759242228e-06,5.771947166977043e-06,5.912937581342703e-06,5.9994943057972705e-06,6.0798947743023746e-06,6.184158928590477e-06,6.238401560949569e-06,6.3691723e-06
124,0.48627454,6,400,5.908811472181696e-06,1.3246985421336664e-07,5.5518008e-06,5.6115985216820265e-06,5.686814756700187e-06,5.820871592732146e-06,5.905422540308791e-06,6.0039529898858746e-06,6.113403469498734e-06,6.206132061379322e-06,6.331678e-06
124,0.48627454,7,400,5.823340565029867e-06,1.3292640908741773e-07,5.456743e-06,5.5224364768946544e-06,5.595666493718454e-06,5.739013317906938e-06,5.830048621646711e-06,5.92026776757848e-06,6.042733389222121e-06,6.083824182496755e-06,6.1365977e-06
124,0.48627454,8,400,5.596085786692129e-06,1.2806013325245976e-07,5.2831233e-06,5.3058200819577905e-06,5.377804154704791e-06,5.506683805833745e-06,5.592663683273713e-06,5.681354878106504e-06,5.802649297947937e-06,5.911808034397836e-06,5.944889e-06
124,0.48627454,9,400,5.2521570387398245e-06,1.1935984168324042e-07,4.860869e-06,4.972918591192866e-06,5.074179966868542e-06,5.179090067031211e-06,5.242468205324258e-06,5.3234776942190365e-06,5.45640784821444e-06,5.537535816984018e-06,5.7294533e-06
124,0.48627454,10,400,4.765824294281629e-06,1.0607092990200892e-07,4.4620247e-06,4.528848776317318e-06,4.590750904753804e-06,4.690374339588743e-06,4.769183306052582e-06,4.836617904402374e-06,4.937519906889065e-06,5.018095298510161e-06,5.072079e-06
124,0.48627454,11,400,4.293694723855879e-06,9.99380877451987e-08,4.041704e-06,4.069859310220636e-06,4.127904480810684e-06,4.221591098030331e-06,4.296129418435157e-06,4.361961259746749e-06,4.458571947907331e-06,4.528543454398459e-06,4.580831e-06
124,0.48627454,12,400,3.6622963119725682e-06,9.474415392895153e-08,3.362101e-06,3.469082687388436e-06,3.5123338307130327e-06,3.5977121228825126e-06,3.662175345198193e-06,3.7200845781626413e-06,3.822879125436884e-06,3.89727734727785e-06,4.0259906e-06
124,0.48627454,13,400,3.019801712866865e-06,7.44942105803764e-08,2.7598344e-06,2.8521293506855725e-06,2.89316546968621e-06,2.9651935733454593e-06,3.02101693705481e-06,3.0739560088477447e-06,3.1360596153717777e-06,3.185887467225257e-06,3.2406065e-06
124,0.48627454,14,400,2.480721310575973e-06,6.560450977374313e-08,2.2805032e-06,2.3258140618054312e-06,2.371579716964334e-06,2.438324543163617e-06,2.4820946009640465e-06,2.52321387961274e-06,2.594701538782829e-06,2.6297897011318127e-06,2.6753376e-06
124,0.48627454,15,400,1.8256490020007732e-06,7.18238439622751e-08,1.650036e-06,1.6840567229792214e-06,1.7109722307395714e-06,1.7729506964769826e-06,1.8210316170552687e-06,1.8802801662332058e-06,1.9447208160272566e-06,1.9689019177349107e-06,2.0033433e-06
124,0.48627454,16,400,1.2743418318450494e-06,3.284614590616537e-08,1.1594697e-06,1.1985381092927127e-06,1.2187725076273636e-06,1.2526492128017708e-06,1.272638201044174e-06,1.2957193575857673e-06,1.3288545744671864e-06,1.3530979026654676e-06,1.3704943e-06
125,0.49019611,1,400,5.5627621554776855e-06,1.0634771791456573e-07,5.3074277e-06,5.345099398255116e-06,5.3813608019481766e-06,5.493529556588328e-06,5.559483042816282e-06,5.636144351228722e-06,5.738427239521115e-06,5.789215547338244e-06,5.843318e-06
125,0.49019611,2,400,5.800115087595259e-06,1.1180436477771866e-07,5.4791763e-06,5.536958333323128e-06,5.616086809823173e-06,5.729240797336388e-06,5.796821596959489e-06,5.873128316125076e-06,5.991678540340217e-06,6.03797373969428e-06,6.0614484e-06
125,0.49019611,3,400,6.00843926804373e-06,1.1342225844883186e-07,5.667094e-06,5.75051396026538e-06,5.819774901283381e-06,5.939545644650934e-06,6.004499482514802e-06,6.0846022051919135e-06,6.195082823978737e-06,6.259166548261419e-06,6.333602e-06
125,0.49019611,4,400,6.069535396591164e-06,1.1528152373296559e-07,5.7115426e-06,5.791967141703935e-06,5.87307790738123e-06,5.994984917379043e-06,6.074346629247884e-06,6.147942372081161e-06,6.251701961446088e-06,6.3176442154144755e-06,6.3653442e-06
125,0.49019611,5,400,6.011451159793069e-06,1.2447034823157766e-07,5.7004722e-06,5.73413440179138e-06,5.8102789807890074e-06,5.919263912801398e-06,6.009047865518369e-06,6.098023050071788e-06,6.2067123508313666e-06,6.297992099462135e-06,6.358034e-06
125,0.49019611,6,400,5.9424386131468055e-06,1.2960461498602666e-07,5.5565756e-06,5.637062236019119e-06,5.74025707464898e-06,5.8496742667557555e-06,5.935434501225245e-06,6.031773750692082e-06,6.15821165865782e-06,6.230750027498288e-06,6.3627003e-06
125,0.49019611,7,400,5.859759716031476e-06,1.2558270879746656e-07,5.4348247e-06,5.579944345299737e-06,5.644341513288964e-06,5.767130915046437e-06,5.866926812814199e-06,5.950496756668144e-06,6.0500041627165045e-06,6.1175216433184684e-06,6.1624232e-06
125,0.49019611,8,400,5.65872587458216e-06,1.2843044361682248e-07,5.2443947e-06,5.343361049199303e-06,5.439074584501213e-06,5.578845616582839e-06,5.659223916154588e-06,5.750794798586867e-06,5.8612984503270125e-06,5.95387999965169e-06,6.004959e-06
125,0.49019611,9,400,5.332102381316872e-06,1.2174051825151521e-07,4.985394e-06,5.056686436546443e-06,5.147745650901925e-06,5.248869456409011e-06,5.331103693606565e-06,5.405835281635518e-06,5.543683346331818e-06,5.640273880089808e-06,5.7636594e-06
125,0.49019611,10,400,4.865227878099177e-06,1.0544532912683038e-07,4.5552065e-06,4.649776274163742e-06,4.687830073635268e-06,4.792923164131935e-06,4.870101747656008e-06,4.937563858220528e-06,5.0342440090389575e-06,5.097390931041445e-06,5.1406782e-06
125,0.49019611,11,400,4.40525671820069e-06,1.0040268409465159e-07,4.1508038e-06,4.187800213912851e-06,4.246761250215059e-06,4.3301699861331144e-06,4.405213530844776e-06,4.474544880395115e-06,4.570347778098949e-06,4.641829932552355e-06,4.714518e-06
